TransData v2.3
Copyright (c) 2001-2011 by George Moromisato. All Rights Reserved.

Loading...done.
pass 1...
pass 2...
pass 3...
pass 4...
pass 5...
pass 6...
pass 7...
pass 8...
pass 9...
pass 10...
LABEL STATISTICS

Total labels: 300.00
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,GromeRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,GromeRace,level13: 0.30 (0.10%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,GromeRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,JaxRace: 0.20 (0.06%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,level11: 0.50 (0.16%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,level13: 0.30 (0.10%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,ReenuRace: 0.30 (0.10%)
PerseusArm,metallicEnv,chitometallicEco,TorQuanRace,ReenuRace,level11: 0.30 (0.10%)
PerseusArm,metallicEnv,crystallineEco: 3.30 (1.10%)
PerseusArm,metallicEnv,crystallineEco,EfreetRace: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,EfreetRace,GromeRace: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,EfreetRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,EfreetRace,ReenuRace: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace: 1.10 (0.36%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,GromeRace: 0.40 (0.13%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,GromeRace,level11: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,GromeRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,JaxRace: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,JaxRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,JaxRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,level11: 0.50 (0.16%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,level14: 0.30 (0.10%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,ReenuRace: 0.50 (0.16%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,ErebienRace,ReenuRace,level14: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,GromeRace: 1.80 (0.60%)
PerseusArm,metallicEnv,crystallineEco,GromeRace,level11: 0.70 (0.23%)
PerseusArm,metallicEnv,crystallineEco,GromeRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,GromeRace,level13: 0.30 (0.10%)
PerseusArm,metallicEnv,crystallineEco,GromeRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,JaxRace: 0.50 (0.16%)
PerseusArm,metallicEnv,crystallineEco,JaxRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,JaxRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,JaxRace,level13: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,level11: 1.00 (0.33%)
PerseusArm,metallicEnv,crystallineEco,level12: 0.80 (0.26%)
PerseusArm,metallicEnv,crystallineEco,level13: 0.50 (0.16%)
PerseusArm,metallicEnv,crystallineEco,level14: 0.30 (0.10%)
PerseusArm,metallicEnv,crystallineEco,ReenuRace: 1.00 (0.33%)
PerseusArm,metallicEnv,crystallineEco,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,ReenuRace,level12: 0.50 (0.16%)
PerseusArm,metallicEnv,crystallineEco,ReenuRace,level14: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,TesiphonRace: 0.60 (0.20%)
PerseusArm,metallicEnv,crystallineEco,TesiphonRace,GromeRace: 0.40 (0.13%)
PerseusArm,metallicEnv,crystallineEco,TesiphonRace,GromeRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,TesiphonRace,JaxRace: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,TesiphonRace,JaxRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,TesiphonRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,TesiphonRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace: 1.40 (0.46%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,GromeRace: 0.90 (0.30%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,GromeRace,level11: 0.40 (0.13%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,GromeRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,GromeRace,level13: 0.30 (0.10%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,JaxRace: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,JaxRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,level11: 0.40 (0.13%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,level12: 0.50 (0.16%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,level13: 0.40 (0.13%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,ReenuRace: 0.40 (0.13%)
PerseusArm,metallicEnv,crystallineEco,TorQuanRace,ReenuRace,level12: 0.30 (0.10%)
PerseusArm,metallicEnv,EfreetRace: 5.90 (1.96%)
PerseusArm,metallicEnv,EfreetRace,GromeRace: 3.00 (1.00%)
PerseusArm,metallicEnv,EfreetRace,GromeRace,level11: 1.10 (0.36%)
PerseusArm,metallicEnv,EfreetRace,GromeRace,level12: 1.40 (0.46%)
PerseusArm,metallicEnv,EfreetRace,GromeRace,level13: 0.30 (0.10%)
PerseusArm,metallicEnv,EfreetRace,JaxRace: 2.20 (0.73%)
PerseusArm,metallicEnv,EfreetRace,JaxRace,level11: 0.90 (0.30%)
PerseusArm,metallicEnv,EfreetRace,JaxRace,level12: 0.80 (0.26%)
PerseusArm,metallicEnv,EfreetRace,JaxRace,level13: 0.30 (0.10%)
PerseusArm,metallicEnv,EfreetRace,level11: 2.10 (0.70%)
PerseusArm,metallicEnv,EfreetRace,level12: 2.60 (0.86%)
PerseusArm,metallicEnv,EfreetRace,level13: 0.80 (0.26%)
PerseusArm,metallicEnv,EfreetRace,ReenuRace: 0.70 (0.23%)
PerseusArm,metallicEnv,EfreetRace,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,EfreetRace,ReenuRace,level12: 0.40 (0.13%)
PerseusArm,metallicEnv,EfreetRace,ReenuRace,level13: 0.20 (0.06%)
PerseusArm,metallicEnv,ErebienRace: 5.70 (1.90%)
PerseusArm,metallicEnv,ErebienRace,GromeRace: 1.20 (0.40%)
PerseusArm,metallicEnv,ErebienRace,GromeRace,level11: 0.70 (0.23%)
PerseusArm,metallicEnv,ErebienRace,GromeRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,ErebienRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,ErebienRace,GromeRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,ErebienRace,JaxRace: 1.70 (0.56%)
PerseusArm,metallicEnv,ErebienRace,JaxRace,level11: 0.80 (0.26%)
PerseusArm,metallicEnv,ErebienRace,JaxRace,level12: 0.50 (0.16%)
PerseusArm,metallicEnv,ErebienRace,JaxRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,ErebienRace,JaxRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,ErebienRace,level11: 2.60 (0.86%)
PerseusArm,metallicEnv,ErebienRace,level12: 1.60 (0.53%)
PerseusArm,metallicEnv,ErebienRace,level13: 0.60 (0.20%)
PerseusArm,metallicEnv,ErebienRace,level14: 0.60 (0.20%)
PerseusArm,metallicEnv,ErebienRace,ReenuRace: 2.60 (0.86%)
PerseusArm,metallicEnv,ErebienRace,ReenuRace,level11: 1.10 (0.36%)
PerseusArm,metallicEnv,ErebienRace,ReenuRace,level12: 0.70 (0.23%)
PerseusArm,metallicEnv,ErebienRace,ReenuRace,level13: 0.40 (0.13%)
PerseusArm,metallicEnv,ErebienRace,ReenuRace,level14: 0.40 (0.13%)
PerseusArm,metallicEnv,GromeRace: 9.20 (3.06%)
PerseusArm,metallicEnv,GromeRace,level11: 3.40 (1.13%)
PerseusArm,metallicEnv,GromeRace,level12: 2.20 (0.73%)
PerseusArm,metallicEnv,GromeRace,level13: 1.30 (0.43%)
PerseusArm,metallicEnv,GromeRace,level14: 0.40 (0.13%)
PerseusArm,metallicEnv,GromeRace,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco: 0.90 (0.30%)
PerseusArm,metallicEnv,hydroidEco,EfreetRace: 0.30 (0.10%)
PerseusArm,metallicEnv,hydroidEco,EfreetRace,JaxRace: 0.20 (0.06%)
PerseusArm,metallicEnv,hydroidEco,EfreetRace,JaxRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,hydroidEco,EfreetRace,level12: 0.30 (0.10%)
PerseusArm,metallicEnv,hydroidEco,EfreetRace,ReenuRace: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ErebienRace: 0.20 (0.06%)
PerseusArm,metallicEnv,hydroidEco,ErebienRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ErebienRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ErebienRace,ReenuRace: 0.20 (0.06%)
PerseusArm,metallicEnv,hydroidEco,ErebienRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,GromeRace: 0.30 (0.10%)
PerseusArm,metallicEnv,hydroidEco,JaxRace: 0.20 (0.06%)
PerseusArm,metallicEnv,hydroidEco,JaxRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,hydroidEco,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,level12: 0.30 (0.10%)
PerseusArm,metallicEnv,hydroidEco,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ReenuRace: 0.40 (0.13%)
PerseusArm,metallicEnv,hydroidEco,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,ReenuRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,TorQuanRace: 0.40 (0.13%)
PerseusArm,metallicEnv,hydroidEco,TorQuanRace,GromeRace: 0.30 (0.10%)
PerseusArm,metallicEnv,hydroidEco,TorQuanRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,TorQuanRace,ReenuRace: 0.10 (0.03%)
PerseusArm,metallicEnv,hydroidEco,TorQuanRace,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,JaxRace: 6.80 (2.26%)
PerseusArm,metallicEnv,JaxRace,level11: 2.40 (0.80%)
PerseusArm,metallicEnv,JaxRace,level12: 1.40 (0.46%)
PerseusArm,metallicEnv,JaxRace,level13: 0.80 (0.26%)
PerseusArm,metallicEnv,JaxRace,level14: 0.20 (0.06%)
PerseusArm,metallicEnv,level11: 7.60 (2.53%)
PerseusArm,metallicEnv,level12: 5.20 (1.73%)
PerseusArm,metallicEnv,level13: 2.90 (0.96%)
PerseusArm,metallicEnv,level14: 1.00 (0.33%)
PerseusArm,metallicEnv,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco: 1.70 (0.56%)
PerseusArm,metallicEnv,primordialEco,EfreetRace: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,EfreetRace,GromeRace: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,EfreetRace,GromeRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,EfreetRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,ErebienRace: 0.70 (0.23%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,JaxRace: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,JaxRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,level11: 0.40 (0.13%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,ReenuRace: 0.60 (0.20%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,ReenuRace,level11: 0.40 (0.13%)
PerseusArm,metallicEnv,primordialEco,ErebienRace,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,GromeRace: 0.80 (0.26%)
PerseusArm,metallicEnv,primordialEco,GromeRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,GromeRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,GromeRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,GromeRace,level14: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,GromeRace,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,JaxRace: 0.30 (0.10%)
PerseusArm,metallicEnv,primordialEco,JaxRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,JaxRace,level14: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,level11: 0.50 (0.16%)
PerseusArm,metallicEnv,primordialEco,level12: 0.30 (0.10%)
PerseusArm,metallicEnv,primordialEco,level13: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,level14: 0.40 (0.13%)
PerseusArm,metallicEnv,primordialEco,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,ReenuRace: 0.60 (0.20%)
PerseusArm,metallicEnv,primordialEco,ReenuRace,level11: 0.40 (0.13%)
PerseusArm,metallicEnv,primordialEco,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,TesiphonRace: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,TesiphonRace,GromeRace: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TesiphonRace,JaxRace: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TesiphonRace,JaxRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TesiphonRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace: 0.60 (0.20%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,GromeRace: 0.50 (0.16%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,GromeRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,GromeRace,level14: 0.20 (0.06%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,GromeRace,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,JaxRace: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,JaxRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,level14: 0.30 (0.10%)
PerseusArm,metallicEnv,primordialEco,TorQuanRace,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,ReenuRace: 4.80 (1.60%)
PerseusArm,metallicEnv,ReenuRace,level11: 1.80 (0.60%)
PerseusArm,metallicEnv,ReenuRace,level12: 1.40 (0.46%)
PerseusArm,metallicEnv,ReenuRace,level13: 0.80 (0.26%)
PerseusArm,metallicEnv,ReenuRace,level14: 0.40 (0.13%)
PerseusArm,metallicEnv,TesiphonRace: 3.20 (1.06%)
PerseusArm,metallicEnv,TesiphonRace,GromeRace: 1.40 (0.46%)
PerseusArm,metallicEnv,TesiphonRace,GromeRace,level11: 0.70 (0.23%)
PerseusArm,metallicEnv,TesiphonRace,GromeRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,TesiphonRace,JaxRace: 1.40 (0.46%)
PerseusArm,metallicEnv,TesiphonRace,JaxRace,level11: 0.60 (0.20%)
PerseusArm,metallicEnv,TesiphonRace,JaxRace,level13: 0.20 (0.06%)
PerseusArm,metallicEnv,TesiphonRace,level11: 1.30 (0.43%)
PerseusArm,metallicEnv,TesiphonRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,TesiphonRace,level13: 0.30 (0.10%)
PerseusArm,metallicEnv,TesiphonRace,ReenuRace: 0.40 (0.13%)
PerseusArm,metallicEnv,TesiphonRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,metallicEnv,TorQuanRace: 6.20 (2.06%)
PerseusArm,metallicEnv,TorQuanRace,GromeRace: 3.60 (1.20%)
PerseusArm,metallicEnv,TorQuanRace,GromeRace,level11: 0.90 (0.30%)
PerseusArm,metallicEnv,TorQuanRace,GromeRace,level12: 0.50 (0.16%)
PerseusArm,metallicEnv,TorQuanRace,GromeRace,level13: 0.90 (0.30%)
PerseusArm,metallicEnv,TorQuanRace,GromeRace,level14: 0.30 (0.10%)
PerseusArm,metallicEnv,TorQuanRace,GromeRace,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,TorQuanRace,JaxRace: 1.50 (0.50%)
PerseusArm,metallicEnv,TorQuanRace,JaxRace,level11: 0.10 (0.03%)
PerseusArm,metallicEnv,TorQuanRace,JaxRace,level12: 0.10 (0.03%)
PerseusArm,metallicEnv,TorQuanRace,JaxRace,level13: 0.20 (0.06%)
PerseusArm,metallicEnv,TorQuanRace,JaxRace,level14: 0.10 (0.03%)
PerseusArm,metallicEnv,TorQuanRace,level11: 1.60 (0.53%)
PerseusArm,metallicEnv,TorQuanRace,level12: 0.90 (0.30%)
PerseusArm,metallicEnv,TorQuanRace,level13: 1.20 (0.40%)
PerseusArm,metallicEnv,TorQuanRace,level14: 0.40 (0.13%)
PerseusArm,metallicEnv,TorQuanRace,level15: 0.10 (0.03%)
PerseusArm,metallicEnv,TorQuanRace,ReenuRace: 1.10 (0.36%)
PerseusArm,metallicEnv,TorQuanRace,ReenuRace,level11: 0.60 (0.20%)
PerseusArm,metallicEnv,TorQuanRace,ReenuRace,level12: 0.30 (0.10%)
PerseusArm,metallicEnv,TorQuanRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,organicEnv: 20.60 (6.86%)
PerseusArm,organicEnv,asymorphEco: 6.60 (2.20%)
PerseusArm,organicEnv,asymorphEco,EfreetRace: 2.00 (0.66%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,GromeRace: 0.90 (0.30%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,GromeRace,level11: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,GromeRace,level12: 0.60 (0.20%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,GromeRace,level13: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,JaxRace: 0.60 (0.20%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,JaxRace,level11: 0.30 (0.10%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,JaxRace,level12: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,JaxRace,level14: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,level11: 0.50 (0.16%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,level12: 0.80 (0.26%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,level13: 0.30 (0.10%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,level14: 0.30 (0.10%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,ReenuRace: 0.50 (0.16%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,EfreetRace,ReenuRace,level14: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,ErebienRace: 2.60 (0.86%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,GromeRace: 1.10 (0.36%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,GromeRace,level11: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,GromeRace,level12: 0.70 (0.23%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,GromeRace,level14: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,JaxRace: 1.10 (0.36%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,JaxRace,level11: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,JaxRace,level12: 0.50 (0.16%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,level11: 0.80 (0.26%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,level12: 1.20 (0.40%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,level13: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,level14: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,ReenuRace: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,ErebienRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,GromeRace: 2.40 (0.80%)
PerseusArm,organicEnv,asymorphEco,GromeRace,level11: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,GromeRace,level12: 1.30 (0.43%)
PerseusArm,organicEnv,asymorphEco,GromeRace,level13: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,GromeRace,level14: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,JaxRace: 2.60 (0.86%)
PerseusArm,organicEnv,asymorphEco,JaxRace,level11: 1.20 (0.40%)
PerseusArm,organicEnv,asymorphEco,JaxRace,level12: 0.70 (0.23%)
PerseusArm,organicEnv,asymorphEco,JaxRace,level14: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,level11: 2.30 (0.76%)
PerseusArm,organicEnv,asymorphEco,level12: 2.20 (0.73%)
PerseusArm,organicEnv,asymorphEco,level13: 0.60 (0.20%)
PerseusArm,organicEnv,asymorphEco,level14: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,ReenuRace: 1.60 (0.53%)
PerseusArm,organicEnv,asymorphEco,ReenuRace,level11: 0.70 (0.23%)
PerseusArm,organicEnv,asymorphEco,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,ReenuRace,level13: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,ReenuRace,level14: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace: 1.00 (0.33%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,GromeRace: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,JaxRace: 0.60 (0.20%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,JaxRace,level11: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,JaxRace,level12: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,level11: 0.60 (0.20%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,level12: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,level13: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,ReenuRace: 0.30 (0.10%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,organicEnv,asymorphEco,TesiphonRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace: 1.00 (0.33%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace,GromeRace: 0.30 (0.10%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace,GromeRace,level11: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace,JaxRace: 0.30 (0.10%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace,JaxRace,level11: 0.10 (0.03%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace,level11: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace,ReenuRace: 0.40 (0.13%)
PerseusArm,organicEnv,asymorphEco,TorQuanRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,organicEnv,chitometallicEco: 1.10 (0.36%)
PerseusArm,organicEnv,chitometallicEco,EfreetRace: 0.10 (0.03%)
PerseusArm,organicEnv,chitometallicEco,EfreetRace,level11: 0.10 (0.03%)
PerseusArm,organicEnv,chitometallicEco,EfreetRace,ReenuRace: 0.10 (0.03%)
PerseusArm,organicEnv,chitometallicEco,EfreetRace,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,organicEnv,chitometallicEco,ErebienRace: 0.40 (0.13%)
PerseusArm,organicEnv,chitometallicEco,ErebienRace,JaxRace: 0.40 (0.13%)
PerseusArm,organicEnv,chitometallicEco,ErebienRace,JaxRace,level12: 0.20 (0.06%)
PerseusArm,organicEnv,chitometallicEco,ErebienRace,level12: 0.20 (0.06%)
PerseusArm,organicEnv,chitometallicEco,GromeRace: 0.10 (0.03%)
PerseusArm,organicEnv,chitometallicEco,GromeRace,level12: 0.10 (0.03%)
PerseusArm,organicEnv,chitometallicEco,JaxRace: 0.50 (0.16%)
PerseusArm,organicEnv,chitometallicEco,JaxRace,level12: 0.30 (0.10%)
PerseusArm,organicEnv,chitometallicEco,level11: 0.20 (0.06%)
PerseusArm,organicEnv,chitometallicEco,level12: 0.60 (0.20%)
PerseusArm,organicEnv,chitometallicEco,ReenuRace: 0.50 (0.16%)
PerseusArm,organicEnv,chitometallicEco,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,organicEnv,chitometallicEco,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,organicEnv,chitometallicEco,TorQuanRace: 0.60 (0.20%)
PerseusArm,organicEnv,chitometallicEco,TorQuanRace,GromeRace: 0.10 (0.03%)
